Acton,4
Alliston,4
Amhertsburg,7
Ancaster,4
Angus,4
Aurora,3
Arthur,5
Aylmer,5
Ayr,4
Brampton,1
Barrie,4
Beamsville,4
Beaverton,6
Beeton,4
Belleville,6
Binbrook,4
Blenheim,7
Bobcaygeon,7
Bolton,3
Bowmanville,5
Bradford,4
Brantford,4
Breslau,4
Burlington,3
Caledonia,4
Cambridge,4
Campbellford,6
Campbellville,3
Chatham,7
Chepstow,7
Clarksburg,6
Cobourg,6
Colborne,6
Collingwood,6
Concord,1
Cookstown,4
 Dorchester ,5
 Dresden ,7
 Dundas ,4
 Dunnville ,6
 Elgin Mills ,3
 Elmira ,4
 Embro ,5
 Erin ,4
 Essex ,7
 Etobicoke ,1
 Exeter ,7
 Fergus ,5
 Fort Erie ,5
Georgetown,3
Goderich,7
Gormley,3
Grand Valley,5
Gravenhurst,7
Grimsby,4
Guelph,4
Hagersville,4
Halton Hills,4
Hanover,5
Hamilton,4
Hensall,6
Ingersol,5
Inwood,7
Jarvis,5
Jordan,5
Keswick,4
King City,3
Kingston,7
Kingsville,7
Kitchener,4
Kleinburg,2
Leamington,7
Lindsay,6
Listowel,7
London,5
Markham,2
Midland,6
Milton,3
Mississauga,1
Mitchell,5
Mount Brydges,6
Mount Forest,5
Napanee,7
North York,1
New Dundee,5
New Hamburg,5
Newcastle,5
Newmarket,4
Niagara,5
Oakville,3
Orangeville,4
Orillia,6
Oshawa,4
Owen Sound,6
Paris,4
Peterborough,6
Plattsville,5
Port Colborne,5
Port Hope,5
Port Perry,5
Putnam,5
Queensville,4
Richmond Hill,3
Ridgeway,5
Rexdale,1
Sarnia,7
Scarborough,2
Schomberg,4
Simcoe,5
Smithville,5
St. Catherines,5
ST. Clements,4
St. David's,5
St. George,4
St. Jacob's,4
St. Mary's,6
St. Thomas,6
Stoney Creek,4
Stoufville,4
Stratford,5
Strathroy,6
Tecumseh,7
Thamesford,5
Thornbury,6
Thornhill,3
Thornton,4
Thorold,5
Toronto,1
Tilbury,7
Tillsonburg,5
Trenton,7
Uxbridge,4
Vaughan,1
Vineland Station,5
Wainfleet,5
Walkerton,6
Warsaw,7
Waterford,5
Waterloo,4
Welland,5
Wellesley,5
Wheatley,7
Whitby,4
Windsor,7
Woodbridge,2
Woodstock,5
Arnprior,
Bancroft,
Blind River,
Bracebridge,
Brockville,
Burks Falls,
Chapleau,
Cochrane,
Copper Cliff,
Cornwall,
 Earlton ,
 Espanola ,
 Fenelon Falls ,
 Fort Frances ,
Haliburton,
Hearst,
Huntsville,
Iroquois Falls,
Kapuskasing,
Kenora,
Kirkland Lake,
Marathon,
Nepean,
New Liskeard,
Nipigon,
North Bay,
Ottawa,
Parry Sound,
Pembroke,
Perth,
Prescott,
Refrew,
Sault Ste Marie,
Sioux Lookout,
Smith Falls,
Sudbury,
Thunder Bay,
Timmins,
Windchester,